,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
51,52,Art Exhibition,Fair,Houston,18:30:00,23:30:00,2024-01-22,2024-01-22 18:30:00,2024-01-22 23:30:00
52,53,Science Fair,Concert,Chicago,15:45:00,17:45:00,2024-03-16,2024-03-16 15:45:00,2024-03-16 17:45:00
54,55,Food Festival,Conference,Boston,14:00:00,19:00:00,2023-09-04,2023-09-04 14:00:00,2023-09-04 19:00:00
55,56,Food Festival,Screening,Seattle,15:45:00,20:45:00,2023-01-18,2023-01-18 15:45:00,2023-01-18 20:45:00
57,58,Coding Workshop,Show,Chicago,18:45:00,20:45:00,2024-07-10,2024-07-10 18:45:00,2024-07-10 20:45:00
58,59,Music Concert,Fair,Denver,16:15:00,17:15:00,2023-11-17,2023-11-17 16:15:00,2023-11-17 17:15:00
59,60,Yoga Class,Class,Chicago,16:00:00,17:00:00,2023-01-16,2023-01-16 16:00:00,2023-01-16 17:00:00
60,61,Music Concert,Screening,Miami,13:00:00,17:00:00,2023-10-08,2023-10-08 13:00:00,2023-10-08 17:00:00
62,63,Comedy Night,Fair,Houston,14:00:00,18:00:00,2023-03-01,2023-03-01 14:00:00,2023-03-01 18:00:00
63,64,Film Screening,Conference,Boston,14:00:00,16:00:00,2024-06-14,2024-06-14 14:00:00,2024-06-14 16:00:00
64,65,Tech Talk,Fair,Austin,14:15:00,17:15:00,2024-04-03,2024-04-03 14:15:00,2024-04-03 17:15:00
65,66,Tech Talk,Festival,Chicago,17:45:00,20:45:00,2024-02-01,2024-02-01 17:45:00,2024-02-01 20:45:00
66,67,Food Festival,Show,Chicago,18:45:00,19:45:00,2023-07-05,2023-07-05 18:45:00,2023-07-05 19:45:00
67,68,Science Fair,Screening,San Francisco,08:00:00,12:00:00,2024-07-25,2024-07-25 08:00:00,2024-07-25 12:00:00
68,69,Film Screening,Festival,Seattle,16:00:00,19:00:00,2024-06-29,2024-06-29 16:00:00,2024-06-29 19:00:00
69,70,Science Fair,Show,Los Angeles,13:15:00,16:15:00,2024-04-08,2024-04-08 13:15:00,2024-04-08 16:15:00
70,71,Art Exhibition,Festival,Austin,14:45:00,15:45:00,2024-09-08,2024-09-08 14:45:00,2024-09-08 15:45:00
71,72,Tech Talk,Concert,Seattle,16:30:00,21:30:00,2024-07-11,2024-07-11 16:30:00,2024-07-11 21:30:00
72,73,Comedy Night,Screening,Houston,14:00:00,18:00:00,2024-02-16,2024-02-16 14:00:00,2024-02-16 18:00:00
75,76,Coding Workshop,Fair,Denver,10:00:00,11:00:00,2024-09-27,2024-09-27 10:00:00,2024-09-27 11:00:00
76,77,Coding Workshop,Concert,Boston,10:15:00,13:15:00,2024-04-04,2024-04-04 10:15:00,2024-04-04 13:15:00
78,79,Music Concert,Screening,Seattle,10:15:00,14:15:00,2024-07-13,2024-07-13 10:15:00,2024-07-13 14:15:00
79,80,Music Concert,Screening,Chicago,16:30:00,19:30:00,2024-03-11,2024-03-11 16:30:00,2024-03-11 19:30:00
80,81,Art Exhibition,Class,Chicago,11:45:00,15:45:00,2024-06-20,2024-06-20 11:45:00,2024-06-20 15:45:00
82,83,Film Screening,Screening,Austin,14:15:00,19:15:00,2023-06-07,2023-06-07 14:15:00,2023-06-07 19:15:00
84,85,Art Exhibition,Workshop,Houston,15:45:00,19:45:00,2023-09-25,2023-09-25 15:45:00,2023-09-25 19:45:00
85,86,Book Launch,Festival,San Francisco,14:30:00,19:30:00,2023-04-15,2023-04-15 14:30:00,2023-04-15 19:30:00
89,90,Film Screening,Launch,Austin,09:45:00,10:45:00,2023-04-29,2023-04-29 09:45:00,2023-04-29 10:45:00
90,91,Yoga Class,Fair,New York,16:00:00,18:00:00,2023-02-19,2023-02-19 16:00:00,2023-02-19 18:00:00
91,92,Music Concert,Festival,New York,17:00:00,20:00:00,2024-05-25,2024-05-25 17:00:00,2024-05-25 20:00:00
93,94,Yoga Class,Conference,Houston,13:15:00,16:15:00,2024-07-17,2024-07-17 13:15:00,2024-07-17 16:15:00
94,95,Science Fair,Festival,San Francisco,15:30:00,18:30:00,2024-05-31,2024-05-31 15:30:00,2024-05-31 18:30:00
95,96,Food Festival,Exhibition,San Francisco,10:30:00,12:30:00,2024-07-04,2024-07-04 10:30:00,2024-07-04 12:30:00
96,97,Art Exhibition,Launch,Austin,15:15:00,17:15:00,2023-09-09,2023-09-09 15:15:00,2023-09-09 17:15:00
97,98,Art Exhibition,Class,Houston,15:45:00,17:45:00,2023-05-23,2023-05-23 15:45:00,2023-05-23 17:45:00
100,101,Coding Workshop,Exhibition,Miami,10:15:00,14:15:00,2023-07-02,2023-07-02 10:15:00,2023-07-02 14:15:00
102,103,Music Concert,Festival,Miami,14:45:00,19:45:00,2024-01-22,2024-01-22 14:45:00,2024-01-22 19:45:00
105,106,Tech Talk,Launch,Los Angeles,10:15:00,15:15:00,2023-10-11,2023-10-11 10:15:00,2023-10-11 15:15:00
108,109,Yoga Class,Fair,Boston,10:45:00,13:45:00,2023-10-21,2023-10-21 10:45:00,2023-10-21 13:45:00
110,111,Film Screening,Launch,New York,16:30:00,17:30:00,2024-09-14,2024-09-14 16:30:00,2024-09-14 17:30:00
113,114,Art Exhibition,Screening,Los Angeles,13:45:00,15:45:00,2023-08-22,2023-08-22 13:45:00,2023-08-22 15:45:00
114,115,Art Exhibition,Screening,Houston,11:15:00,14:15:00,2023-08-26,2023-08-26 11:15:00,2023-08-26 14:15:00
115,116,Art Exhibition,Conference,San Francisco,09:30:00,13:30:00,2023-07-31,2023-07-31 09:30:00,2023-07-31 13:30:00
116,117,Music Concert,Workshop,Miami,09:30:00,11:30:00,2024-02-13,2024-02-13 09:30:00,2024-02-13 11:30:00
118,119,Coding Workshop,Concert,Houston,10:30:00,13:30:00,2023-09-26,2023-09-26 10:30:00,2023-09-26 13:30:00
120,121,Coding Workshop,Conference,Chicago,15:45:00,19:45:00,2024-03-14,2024-03-14 15:45:00,2024-03-14 19:45:00
122,123,Film Screening,Screening,Houston,16:00:00,21:00:00,2024-01-09,2024-01-09 16:00:00,2024-01-09 21:00:00
123,124,Food Festival,Workshop,San Francisco,08:15:00,13:15:00,2023-09-29,2023-09-29 08:15:00,2023-09-29 13:15:00
124,125,Science Fair,Screening,New York,18:00:00,22:00:00,2024-03-14,2024-03-14 18:00:00,2024-03-14 22:00:00
125,126,Art Exhibition,Launch,Seattle,18:45:00,20:45:00,2023-12-30,2023-12-30 18:45:00,2023-12-30 20:45:00
129,130,Film Screening,Launch,Austin,09:45:00,14:45:00,2023-03-10,2023-03-10 09:45:00,2023-03-10 14:45:00
130,131,Comedy Night,Show,New York,15:15:00,20:15:00,2023-09-05,2023-09-05 15:15:00,2023-09-05 20:15:00
131,132,Food Festival,Exhibition,Miami,13:45:00,18:45:00,2023-01-04,2023-01-04 13:45:00,2023-01-04 18:45:00
132,133,Food Festival,Festival,Los Angeles,13:45:00,18:45:00,2024-01-15,2024-01-15 13:45:00,2024-01-15 18:45:00
134,135,Yoga Class,Screening,San Francisco,13:30:00,18:30:00,2023-06-26,2023-06-26 13:30:00,2023-06-26 18:30:00
136,137,Tech Talk,Concert,Seattle,17:00:00,18:00:00,2023-05-20,2023-05-20 17:00:00,2023-05-20 18:00:00
140,141,Yoga Class,Fair,Houston,18:30:00,19:30:00,2023-01-27,2023-01-27 18:30:00,2023-01-27 19:30:00
141,142,Music Concert,Conference,Los Angeles,08:15:00,11:15:00,2024-05-29,2024-05-29 08:15:00,2024-05-29 11:15:00
142,143,Tech Talk,Fair,Austin,18:45:00,22:45:00,2024-06-17,2024-06-17 18:45:00,2024-06-17 22:45:00
144,145,Science Fair,Screening,Los Angeles,13:45:00,17:45:00,2023-02-26,2023-02-26 13:45:00,2023-02-26 17:45:00
145,146,Film Screening,Concert,Seattle,13:00:00,16:00:00,2023-04-10,2023-04-10 13:00:00,2023-04-10 16:00:00
147,148,Book Launch,Launch,Austin,16:45:00,21:45:00,2023-03-21,2023-03-21 16:45:00,2023-03-21 21:45:00
152,153,Film Screening,Class,Austin,10:45:00,14:45:00,2023-12-10,2023-12-10 10:45:00,2023-12-10 14:45:00
156,157,Book Launch,Exhibition,Austin,16:30:00,18:30:00,2023-02-28,2023-02-28 16:30:00,2023-02-28 18:30:00
157,158,Tech Talk,Festival,Seattle,08:00:00,10:00:00,2024-10-21,2024-10-21 08:00:00,2024-10-21 10:00:00
159,160,Tech Talk,Concert,Seattle,14:00:00,17:00:00,2024-04-02,2024-04-02 14:00:00,2024-04-02 17:00:00
160,161,Science Fair,Screening,Houston,18:00:00,22:00:00,2023-08-23,2023-08-23 18:00:00,2023-08-23 22:00:00
162,163,Art Exhibition,Workshop,Houston,12:15:00,15:15:00,2023-11-16,2023-11-16 12:15:00,2023-11-16 15:15:00
164,165,Music Concert,Concert,Boston,16:30:00,18:30:00,2024-10-20,2024-10-20 16:30:00,2024-10-20 18:30:00
165,166,Music Concert,Concert,Austin,14:00:00,18:00:00,2023-06-14,2023-06-14 14:00:00,2023-06-14 18:00:00
166,167,Comedy Night,Exhibition,Miami,15:15:00,20:15:00,2024-03-12,2024-03-12 15:15:00,2024-03-12 20:15:00
168,169,Coding Workshop,Launch,Austin,09:00:00,14:00:00,2023-04-19,2023-04-19 09:00:00,2023-04-19 14:00:00
170,171,Science Fair,Launch,Seattle,10:45:00,12:45:00,2024-03-31,2024-03-31 10:45:00,2024-03-31 12:45:00
171,172,Art Exhibition,Concert,New York,10:30:00,12:30:00,2024-07-07,2024-07-07 10:30:00,2024-07-07 12:30:00
172,173,Book Launch,Show,Houston,11:00:00,12:00:00,2024-07-06,2024-07-06 11:00:00,2024-07-06 12:00:00
173,174,Book Launch,Festival,Austin,12:45:00,15:45:00,2024-10-16,2024-10-16 12:45:00,2024-10-16 15:45:00
174,175,Food Festival,Workshop,Boston,13:30:00,16:30:00,2024-01-03,2024-01-03 13:30:00,2024-01-03 16:30:00
177,178,Music Concert,Screening,Chicago,14:45:00,16:45:00,2024-09-06,2024-09-06 14:45:00,2024-09-06 16:45:00
179,180,Music Concert,Conference,Austin,09:15:00,11:15:00,2024-10-31,2024-10-31 09:15:00,2024-10-31 11:15:00
180,181,Film Screening,Screening,Austin,17:45:00,18:45:00,2023-05-12,2023-05-12 17:45:00,2023-05-12 18:45:00
182,183,Art Exhibition,Screening,New York,08:45:00,09:45:00,2023-07-05,2023-07-05 08:45:00,2023-07-05 09:45:00
183,184,Comedy Night,Screening,Boston,09:30:00,12:30:00,2023-05-15,2023-05-15 09:30:00,2023-05-15 12:30:00
184,185,Art Exhibition,Concert,Austin,12:45:00,17:45:00,2024-07-01,2024-07-01 12:45:00,2024-07-01 17:45:00
185,186,Film Screening,Class,Chicago,09:45:00,12:45:00,2023-08-09,2023-08-09 09:45:00,2023-08-09 12:45:00
186,187,Food Festival,Exhibition,Miami,11:30:00,14:30:00,2023-06-22,2023-06-22 11:30:00,2023-06-22 14:30:00
187,188,Film Screening,Fair,Austin,09:15:00,10:15:00,2024-01-04,2024-01-04 09:15:00,2024-01-04 10:15:00
188,189,Music Concert,Conference,Denver,17:45:00,19:45:00,2024-04-25,2024-04-25 17:45:00,2024-04-25 19:45:00
189,190,Food Festival,Show,Los Angeles,09:15:00,11:15:00,2023-08-23,2023-08-23 09:15:00,2023-08-23 11:15:00
190,191,Tech Talk,Workshop,Seattle,13:30:00,16:30:00,2023-01-09,2023-01-09 13:30:00,2023-01-09 16:30:00
191,192,Tech Talk,Launch,New York,15:15:00,17:15:00,2024-09-20,2024-09-20 15:15:00,2024-09-20 17:15:00
192,193,Coding Workshop,Launch,Austin,08:45:00,11:45:00,2024-02-11,2024-02-11 08:45:00,2024-02-11 11:45:00
198,199,Coding Workshop,Workshop,San Francisco,18:45:00,23:45:00,2023-04-14,2023-04-14 18:45:00,2023-04-14 23:45:00
200,201,Art Exhibition,Fair,Seattle,12:30:00,17:30:00,2023-09-06,2023-09-06 12:30:00,2023-09-06 17:30:00
204,205,Coding Workshop,Screening,Miami,14:45:00,18:45:00,2024-04-16,2024-04-16 14:45:00,2024-04-16 18:45:00
206,207,Book Launch,Class,Miami,16:30:00,19:30:00,2024-04-02,2024-04-02 16:30:00,2024-04-02 19:30:00
207,208,Music Concert,Class,Denver,12:30:00,13:30:00,2024-06-01,2024-06-01 12:30:00,2024-06-01 13:30:00
208,209,Film Screening,Concert,New York,18:45:00,19:45:00,2024-09-15,2024-09-15 18:45:00,2024-09-15 19:45:00
210,211,Yoga Class,Show,Seattle,08:30:00,12:30:00,2023-02-11,2023-02-11 08:30:00,2023-02-11 12:30:00
211,212,Film Screening,Festival,Miami,10:30:00,14:30:00,2023-12-31,2023-12-31 10:30:00,2023-12-31 14:30:00
212,213,Music Concert,Festival,San Francisco,17:30:00,20:30:00,2023-08-22,2023-08-22 17:30:00,2023-08-22 20:30:00
219,220,Comedy Night,Festival,Los Angeles,17:45:00,21:45:00,2024-08-01,2024-08-01 17:45:00,2024-08-01 21:45:00
220,221,Music Concert,Screening,Miami,14:30:00,16:30:00,2023-02-10,2023-02-10 14:30:00,2023-02-10 16:30:00
222,223,Yoga Class,Launch,Los Angeles,18:30:00,22:30:00,2023-08-19,2023-08-19 18:30:00,2023-08-19 22:30:00
223,224,Coding Workshop,Show,Los Angeles,15:45:00,17:45:00,2023-04-03,2023-04-03 15:45:00,2023-04-03 17:45:00
224,225,Tech Talk,Launch,San Francisco,13:30:00,16:30:00,2024-02-07,2024-02-07 13:30:00,2024-02-07 16:30:00
225,226,Music Concert,Show,Seattle,12:00:00,14:00:00,2024-06-18,2024-06-18 12:00:00,2024-06-18 14:00:00
226,227,Tech Talk,Class,Miami,09:15:00,10:15:00,2023-09-22,2023-09-22 09:15:00,2023-09-22 10:15:00
227,228,Comedy Night,Class,Los Angeles,17:30:00,20:30:00,2023-10-08,2023-10-08 17:30:00,2023-10-08 20:30:00
229,230,Book Launch,Screening,Denver,17:15:00,22:15:00,2023-06-12,2023-06-12 17:15:00,2023-06-12 22:15:00
232,233,Tech Talk,Class,Austin,09:30:00,13:30:00,2024-05-13,2024-05-13 09:30:00,2024-05-13 13:30:00
233,234,Food Festival,Show,Los Angeles,12:00:00,15:00:00,2024-05-20,2024-05-20 12:00:00,2024-05-20 15:00:00
234,235,Music Concert,Class,San Francisco,09:00:00,11:00:00,2023-09-04,2023-09-04 09:00:00,2023-09-04 11:00:00
237,238,Film Screening,Fair,Denver,17:45:00,18:45:00,2023-08-26,2023-08-26 17:45:00,2023-08-26 18:45:00
238,239,Film Screening,Workshop,Denver,16:45:00,18:45:00,2024-11-02,2024-11-02 16:45:00,2024-11-02 18:45:00
239,240,Film Screening,Class,Miami,11:15:00,15:15:00,2024-07-26,2024-07-26 11:15:00,2024-07-26 15:15:00
240,241,Film Screening,Class,Denver,13:15:00,18:15:00,2023-10-24,2023-10-24 13:15:00,2023-10-24 18:15:00
243,244,Coding Workshop,Screening,Chicago,09:30:00,11:30:00,2023-08-31,2023-08-31 09:30:00,2023-08-31 11:30:00
244,245,Music Concert,Conference,San Francisco,18:30:00,19:30:00,2024-09-14,2024-09-14 18:30:00,2024-09-14 19:30:00
247,248,Art Exhibition,Class,Denver,12:45:00,16:45:00,2023-07-15,2023-07-15 12:45:00,2023-07-15 16:45:00
249,250,Comedy Night,Fair,Boston,10:00:00,14:00:00,2024-04-29,2024-04-29 10:00:00,2024-04-29 14:00:00
251,252,Film Screening,Class,San Francisco,13:15:00,18:15:00,2023-09-13,2023-09-13 13:15:00,2023-09-13 18:15:00
253,254,Food Festival,Concert,San Francisco,10:30:00,15:30:00,2024-02-07,2024-02-07 10:30:00,2024-02-07 15:30:00
254,255,Music Concert,Workshop,Seattle,16:00:00,19:00:00,2023-06-29,2023-06-29 16:00:00,2023-06-29 19:00:00
256,257,Music Concert,Workshop,Denver,10:15:00,12:15:00,2024-08-14,2024-08-14 10:15:00,2024-08-14 12:15:00
257,258,Tech Talk,Launch,Denver,10:45:00,11:45:00,2024-08-14,2024-08-14 10:45:00,2024-08-14 11:45:00
258,259,Film Screening,Concert,San Francisco,12:15:00,13:15:00,2023-03-31,2023-03-31 12:15:00,2023-03-31 13:15:00
259,260,Music Concert,Conference,Seattle,17:15:00,19:15:00,2023-01-28,2023-01-28 17:15:00,2023-01-28 19:15:00
260,261,Music Concert,Launch,San Francisco,14:45:00,17:45:00,2024-04-13,2024-04-13 14:45:00,2024-04-13 17:45:00
261,262,Comedy Night,Workshop,Boston,08:00:00,10:00:00,2023-04-28,2023-04-28 08:00:00,2023-04-28 10:00:00
262,263,Book Launch,Festival,Austin,15:15:00,19:15:00,2023-09-12,2023-09-12 15:15:00,2023-09-12 19:15:00
266,267,Comedy Night,Festival,Los Angeles,09:45:00,14:45:00,2024-08-27,2024-08-27 09:45:00,2024-08-27 14:45:00
267,268,Yoga Class,Festival,Denver,15:15:00,19:15:00,2023-10-24,2023-10-24 15:15:00,2023-10-24 19:15:00
268,269,Art Exhibition,Concert,San Francisco,12:00:00,14:00:00,2023-03-06,2023-03-06 12:00:00,2023-03-06 14:00:00
269,270,Coding Workshop,Workshop,New York,14:45:00,17:45:00,2024-03-21,2024-03-21 14:45:00,2024-03-21 17:45:00
270,271,Yoga Class,Concert,New York,13:00:00,17:00:00,2023-04-26,2023-04-26 13:00:00,2023-04-26 17:00:00
271,272,Food Festival,Screening,Denver,18:30:00,23:30:00,2023-05-16,2023-05-16 18:30:00,2023-05-16 23:30:00
272,273,Food Festival,Screening,Chicago,11:15:00,13:15:00,2023-05-23,2023-05-23 11:15:00,2023-05-23 13:15:00
273,274,Music Concert,Conference,Los Angeles,15:00:00,17:00:00,2024-04-18,2024-04-18 15:00:00,2024-04-18 17:00:00
274,275,Book Launch,Workshop,Los Angeles,12:00:00,14:00:00,2024-05-10,2024-05-10 12:00:00,2024-05-10 14:00:00
275,276,Tech Talk,Conference,San Francisco,11:15:00,14:15:00,2024-01-11,2024-01-11 11:15:00,2024-01-11 14:15:00
277,278,Book Launch,Exhibition,Boston,18:30:00,22:30:00,2023-12-09,2023-12-09 18:30:00,2023-12-09 22:30:00
278,279,Science Fair,Show,Los Angeles,10:45:00,12:45:00,2024-07-22,2024-07-22 10:45:00,2024-07-22 12:45:00
281,282,Music Concert,Class,Austin,18:45:00,21:45:00,2024-10-26,2024-10-26 18:45:00,2024-10-26 21:45:00
282,283,Tech Talk,Festival,San Francisco,12:30:00,13:30:00,2024-07-27,2024-07-27 12:30:00,2024-07-27 13:30:00
283,284,Film Screening,Screening,Houston,10:30:00,12:30:00,2024-10-04,2024-10-04 10:30:00,2024-10-04 12:30:00
284,285,Tech Talk,Launch,San Francisco,16:30:00,20:30:00,2024-07-04,2024-07-04 16:30:00,2024-07-04 20:30:00
286,287,Food Festival,Fair,Chicago,09:45:00,12:45:00,2023-02-11,2023-02-11 09:45:00,2023-02-11 12:45:00
287,288,Coding Workshop,Festival,San Francisco,08:30:00,13:30:00,2023-08-08,2023-08-08 08:30:00,2023-08-08 13:30:00
288,289,Music Concert,Concert,Los Angeles,17:30:00,21:30:00,2023-07-02,2023-07-02 17:30:00,2023-07-02 21:30:00
289,290,Science Fair,Conference,Miami,12:15:00,16:15:00,2024-07-23,2024-07-23 12:15:00,2024-07-23 16:15:00
290,291,Art Exhibition,Launch,New York,15:00:00,20:00:00,2023-05-13,2023-05-13 15:00:00,2023-05-13 20:00:00
291,292,Science Fair,Show,Miami,11:00:00,16:00:00,2024-01-13,2024-01-13 11:00:00,2024-01-13 16:00:00
292,293,Food Festival,Workshop,Austin,11:15:00,14:15:00,2024-02-16,2024-02-16 11:15:00,2024-02-16 14:15:00
293,294,Comedy Night,Launch,Houston,11:45:00,13:45:00,2023-03-10,2023-03-10 11:45:00,2023-03-10 13:45:00
296,297,Music Concert,Fair,San Francisco,10:45:00,13:45:00,2023-07-01,2023-07-01 10:45:00,2023-07-01 13:45:00
297,298,Art Exhibition,Class,Denver,15:30:00,18:30:00,2023-04-09,2023-04-09 15:30:00,2023-04-09 18:30:00
298,299,Food Festival,Fair,Chicago,18:45:00,19:45:00,2023-09-29,2023-09-29 18:45:00,2023-09-29 19:45:00
299,300,Book Launch,Concert,Boston,09:30:00,10:30:00,2023-05-25,2023-05-25 09:30:00,2023-05-25 10:30:00
300,301,Coding Workshop,Festival,New York,08:45:00,13:45:00,2023-01-20,2023-01-20 08:45:00,2023-01-20 13:45:00
302,303,Tech Talk,Concert,Seattle,08:15:00,11:15:00,2023-03-28,2023-03-28 08:15:00,2023-03-28 11:15:00
303,304,Food Festival,Launch,Seattle,17:45:00,22:45:00,2024-03-28,2024-03-28 17:45:00,2024-03-28 22:45:00
305,306,Book Launch,Show,San Francisco,10:00:00,13:00:00,2024-01-24,2024-01-24 10:00:00,2024-01-24 13:00:00
308,309,Science Fair,Fair,Houston,10:45:00,15:45:00,2023-05-30,2023-05-30 10:45:00,2023-05-30 15:45:00
309,310,Comedy Night,Class,Los Angeles,08:30:00,13:30:00,2023-10-06,2023-10-06 08:30:00,2023-10-06 13:30:00
310,311,Tech Talk,Screening,Miami,16:15:00,18:15:00,2024-02-19,2024-02-19 16:15:00,2024-02-19 18:15:00
311,312,Tech Talk,Concert,Boston,08:15:00,13:15:00,2023-03-20,2023-03-20 08:15:00,2023-03-20 13:15:00
317,318,Film Screening,Workshop,New York,09:15:00,11:15:00,2024-08-18,2024-08-18 09:15:00,2024-08-18 11:15:00
318,319,Comedy Night,Launch,Denver,16:45:00,17:45:00,2024-01-30,2024-01-30 16:45:00,2024-01-30 17:45:00
319,320,Food Festival,Conference,Boston,09:45:00,12:45:00,2023-01-31,2023-01-31 09:45:00,2023-01-31 12:45:00
321,322,Coding Workshop,Launch,New York,09:30:00,12:30:00,2024-05-04,2024-05-04 09:30:00,2024-05-04 12:30:00
328,329,Music Concert,Workshop,New York,17:15:00,18:15:00,2024-09-06,2024-09-06 17:15:00,2024-09-06 18:15:00
331,332,Yoga Class,Show,Seattle,16:30:00,21:30:00,2024-05-04,2024-05-04 16:30:00,2024-05-04 21:30:00
333,334,Film Screening,Workshop,Denver,15:45:00,18:45:00,2023-01-28,2023-01-28 15:45:00,2023-01-28 18:45:00
334,335,Book Launch,Class,Houston,17:15:00,19:15:00,2024-01-19,2024-01-19 17:15:00,2024-01-19 19:15:00
335,336,Coding Workshop,Fair,Seattle,11:30:00,14:30:00,2024-06-23,2024-06-23 11:30:00,2024-06-23 14:30:00
336,337,Yoga Class,Festival,Houston,18:30:00,23:30:00,2023-05-13,2023-05-13 18:30:00,2023-05-13 23:30:00
337,338,Science Fair,Fair,San Francisco,10:00:00,13:00:00,2023-01-14,2023-01-14 10:00:00,2023-01-14 13:00:00
338,339,Comedy Night,Launch,Seattle,18:00:00,22:00:00,2024-04-10,2024-04-10 18:00:00,2024-04-10 22:00:00
340,341,Film Screening,Fair,Boston,13:00:00,16:00:00,2024-10-01,2024-10-01 13:00:00,2024-10-01 16:00:00
342,343,Film Screening,Concert,Chicago,09:15:00,12:15:00,2023-05-07,2023-05-07 09:15:00,2023-05-07 12:15:00
343,344,Music Concert,Show,Houston,12:45:00,14:45:00,2023-07-22,2023-07-22 12:45:00,2023-07-22 14:45:00
345,346,Coding Workshop,Show,Miami,16:30:00,18:30:00,2023-11-07,2023-11-07 16:30:00,2023-11-07 18:30:00
348,349,Yoga Class,Class,Boston,16:45:00,19:45:00,2024-07-20,2024-07-20 16:45:00,2024-07-20 19:45:00
349,350,Coding Workshop,Show,Boston,12:15:00,14:15:00,2023-12-14,2023-12-14 12:15:00,2023-12-14 14:15:00
351,352,Food Festival,Screening,New York,18:15:00,20:15:00,2024-10-13,2024-10-13 18:15:00,2024-10-13 20:15:00
352,353,Film Screening,Conference,Los Angeles,09:45:00,12:45:00,2023-08-05,2023-08-05 09:45:00,2023-08-05 12:45:00
355,356,Book Launch,Workshop,Seattle,10:45:00,12:45:00,2023-02-24,2023-02-24 10:45:00,2023-02-24 12:45:00
356,357,Film Screening,Workshop,Austin,18:45:00,23:45:00,2024-03-30,2024-03-30 18:45:00,2024-03-30 23:45:00
358,359,Comedy Night,Show,Seattle,14:00:00,15:00:00,2024-06-22,2024-06-22 14:00:00,2024-06-22 15:00:00
359,360,Comedy Night,Festival,Denver,08:00:00,10:00:00,2023-02-17,2023-02-17 08:00:00,2023-02-17 10:00:00
360,361,Art Exhibition,Festival,New York,18:30:00,22:30:00,2023-01-26,2023-01-26 18:30:00,2023-01-26 22:30:00
