,event_id,name,type,location,start_time,end_time,date,start_datetime,end_datetime
41,42,Tech Talk,Screening,New York,09:30:00,14:30:00,2025-10-02,2025-10-02 09:30:00,2025-10-02 14:30:00
42,43,Art Exhibition,Workshop,Denver,12:45:00,17:45:00,2025-08-19,2025-08-19 12:45:00,2025-08-19 17:45:00
44,45,Coding Workshop,Concert,Seattle,14:15:00,18:15:00,2025-08-18,2025-08-18 14:15:00,2025-08-18 18:15:00
46,47,Art Exhibition,Workshop,Denver,11:15:00,12:15:00,2025-08-21,2025-08-21 11:15:00,2025-08-21 12:15:00
53,54,Music Concert,Class,Miami,10:45:00,14:45:00,2025-01-19,2025-01-19 10:45:00,2025-01-19 14:45:00
56,57,Film Screening,Show,San Francisco,08:15:00,09:15:00,2025-01-05,2025-01-05 08:15:00,2025-01-05 09:15:00
61,62,Art Exhibition,Exhibition,New York,10:45:00,12:45:00,2025-06-24,2025-06-24 10:45:00,2025-06-24 12:45:00
73,74,Tech Talk,Launch,Houston,12:30:00,16:30:00,2025-07-12,2025-07-12 12:30:00,2025-07-12 16:30:00
74,75,Film Screening,Screening,New York,08:15:00,12:15:00,2025-06-19,2025-06-19 08:15:00,2025-06-19 12:15:00
77,78,Art Exhibition,Conference,Chicago,18:00:00,23:00:00,2024-11-14,2024-11-14 18:00:00,2024-11-14 23:00:00
81,82,Comedy Night,Exhibition,Houston,12:45:00,13:45:00,2025-01-11,2025-01-11 12:45:00,2025-01-11 13:45:00
83,84,Science Fair,Conference,Houston,12:15:00,13:15:00,2025-12-25,2025-12-25 12:15:00,2025-12-25 13:15:00
86,87,Film Screening,Launch,Houston,12:45:00,13:45:00,2025-01-24,2025-01-24 12:45:00,2025-01-24 13:45:00
87,88,Tech Talk,Conference,Houston,15:15:00,19:15:00,2024-12-25,2024-12-25 15:15:00,2024-12-25 19:15:00
88,89,Yoga Class,Concert,Houston,09:45:00,13:45:00,2025-01-19,2025-01-19 09:45:00,2025-01-19 13:45:00
92,93,Yoga Class,Concert,Chicago,10:45:00,14:45:00,2025-10-26,2025-10-26 10:45:00,2025-10-26 14:45:00
98,99,Music Concert,Workshop,Denver,17:45:00,19:45:00,2025-11-10,2025-11-10 17:45:00,2025-11-10 19:45:00
99,100,Art Exhibition,Show,New York,10:15:00,11:15:00,2024-12-18,2024-12-18 10:15:00,2024-12-18 11:15:00
101,102,Film Screening,Fair,Seattle,18:15:00,23:15:00,2025-10-27,2025-10-27 18:15:00,2025-10-27 23:15:00
103,104,Tech Talk,Conference,Los Angeles,18:30:00,23:30:00,2025-10-18,2025-10-18 18:30:00,2025-10-18 23:30:00
104,105,Food Festival,Show,Miami,10:15:00,12:15:00,2025-05-06,2025-05-06 10:15:00,2025-05-06 12:15:00
106,107,Film Screening,Screening,Austin,16:30:00,20:30:00,2024-11-24,2024-11-24 16:30:00,2024-11-24 20:30:00
107,108,Yoga Class,Festival,Houston,17:30:00,22:30:00,2024-12-16,2024-12-16 17:30:00,2024-12-16 22:30:00
109,110,Music Concert,Festival,Los Angeles,08:30:00,12:30:00,2025-09-05,2025-09-05 08:30:00,2025-09-05 12:30:00
111,112,Comedy Night,Exhibition,Boston,14:45:00,19:45:00,2025-03-10,2025-03-10 14:45:00,2025-03-10 19:45:00
112,113,Book Launch,Conference,Chicago,12:15:00,13:15:00,2025-10-03,2025-10-03 12:15:00,2025-10-03 13:15:00
117,118,Music Concert,Conference,Boston,15:15:00,16:15:00,2025-04-17,2025-04-17 15:15:00,2025-04-17 16:15:00
119,120,Comedy Night,Screening,Denver,08:15:00,12:15:00,2025-12-17,2025-12-17 08:15:00,2025-12-17 12:15:00
121,122,Coding Workshop,Festival,Seattle,10:00:00,15:00:00,2025-09-21,2025-09-21 10:00:00,2025-09-21 15:00:00
126,127,Film Screening,Festival,Houston,16:15:00,20:15:00,2025-12-25,2025-12-25 16:15:00,2025-12-25 20:15:00
127,128,Coding Workshop,Festival,Los Angeles,08:15:00,12:15:00,2025-08-29,2025-08-29 08:15:00,2025-08-29 12:15:00
128,129,Art Exhibition,Launch,Chicago,10:00:00,15:00:00,2025-12-30,2025-12-30 10:00:00,2025-12-30 15:00:00
133,134,Book Launch,Exhibition,Austin,15:30:00,17:30:00,2025-05-21,2025-05-21 15:30:00,2025-05-21 17:30:00
135,136,Book Launch,Launch,New York,16:00:00,18:00:00,2025-10-07,2025-10-07 16:00:00,2025-10-07 18:00:00
137,138,Tech Talk,Exhibition,Houston,10:00:00,13:00:00,2025-12-23,2025-12-23 10:00:00,2025-12-23 13:00:00
138,139,Coding Workshop,Fair,New York,11:00:00,15:00:00,2025-06-29,2025-06-29 11:00:00,2025-06-29 15:00:00
139,140,Science Fair,Concert,Seattle,16:00:00,20:00:00,2025-01-27,2025-01-27 16:00:00,2025-01-27 20:00:00
143,144,Book Launch,Workshop,Boston,13:30:00,14:30:00,2024-11-12,2024-11-12 13:30:00,2024-11-12 14:30:00
146,147,Book Launch,Show,Chicago,10:00:00,14:00:00,2024-12-03,2024-12-03 10:00:00,2024-12-03 14:00:00
148,149,Science Fair,Workshop,Denver,18:30:00,20:30:00,2025-02-12,2025-02-12 18:30:00,2025-02-12 20:30:00
149,150,Science Fair,Class,San Francisco,10:15:00,15:15:00,2025-12-14,2025-12-14 10:15:00,2025-12-14 15:15:00
150,151,Tech Talk,Screening,Los Angeles,16:45:00,18:45:00,2025-07-12,2025-07-12 16:45:00,2025-07-12 18:45:00
151,152,Science Fair,Screening,New York,11:00:00,13:00:00,2025-07-18,2025-07-18 11:00:00,2025-07-18 13:00:00
153,154,Tech Talk,Exhibition,New York,14:15:00,16:15:00,2025-05-22,2025-05-22 14:15:00,2025-05-22 16:15:00
154,155,Music Concert,Festival,Denver,11:30:00,13:30:00,2025-07-27,2025-07-27 11:30:00,2025-07-27 13:30:00
155,156,Tech Talk,Concert,Miami,18:30:00,19:30:00,2025-09-24,2025-09-24 18:30:00,2025-09-24 19:30:00
158,159,Music Concert,Festival,Miami,16:30:00,18:30:00,2025-02-21,2025-02-21 16:30:00,2025-02-21 18:30:00
161,162,Art Exhibition,Show,Los Angeles,08:00:00,12:00:00,2025-10-08,2025-10-08 08:00:00,2025-10-08 12:00:00
163,164,Film Screening,Concert,Denver,12:30:00,15:30:00,2025-04-17,2025-04-17 12:30:00,2025-04-17 15:30:00
167,168,Food Festival,Class,Miami,18:15:00,19:15:00,2024-12-20,2024-12-20 18:15:00,2024-12-20 19:15:00
169,170,Tech Talk,Conference,Chicago,11:45:00,14:45:00,2024-11-23,2024-11-23 11:45:00,2024-11-23 14:45:00
175,176,Film Screening,Screening,Houston,18:00:00,23:00:00,2025-05-19,2025-05-19 18:00:00,2025-05-19 23:00:00
176,177,Yoga Class,Exhibition,San Francisco,16:00:00,17:00:00,2025-12-26,2025-12-26 16:00:00,2025-12-26 17:00:00
178,179,Music Concert,Concert,Los Angeles,15:00:00,19:00:00,2025-07-23,2025-07-23 15:00:00,2025-07-23 19:00:00
181,182,Book Launch,Screening,Austin,18:15:00,19:15:00,2025-01-08,2025-01-08 18:15:00,2025-01-08 19:15:00
193,194,Food Festival,Class,New York,12:15:00,13:15:00,2025-03-10,2025-03-10 12:15:00,2025-03-10 13:15:00
194,195,Music Concert,Workshop,Los Angeles,18:15:00,20:15:00,2025-05-04,2025-05-04 18:15:00,2025-05-04 20:15:00
195,196,Film Screening,Workshop,Chicago,10:15:00,15:15:00,2024-12-17,2024-12-17 10:15:00,2024-12-17 15:15:00
196,197,Film Screening,Conference,Austin,15:00:00,17:00:00,2025-09-13,2025-09-13 15:00:00,2025-09-13 17:00:00
197,198,Book Launch,Conference,Denver,12:15:00,13:15:00,2025-10-07,2025-10-07 12:15:00,2025-10-07 13:15:00
199,200,Book Launch,Launch,Seattle,08:30:00,11:30:00,2025-05-24,2025-05-24 08:30:00,2025-05-24 11:30:00
201,202,Food Festival,Class,Miami,11:00:00,15:00:00,2025-05-23,2025-05-23 11:00:00,2025-05-23 15:00:00
202,203,Comedy Night,Class,San Francisco,13:30:00,14:30:00,2025-05-09,2025-05-09 13:30:00,2025-05-09 14:30:00
203,204,Tech Talk,Fair,Houston,15:00:00,16:00:00,2025-11-23,2025-11-23 15:00:00,2025-11-23 16:00:00
205,206,Film Screening,Concert,Denver,11:15:00,16:15:00,2025-01-16,2025-01-16 11:15:00,2025-01-16 16:15:00
209,210,Music Concert,Show,Miami,09:45:00,12:45:00,2025-03-07,2025-03-07 09:45:00,2025-03-07 12:45:00
213,214,Book Launch,Conference,Los Angeles,17:15:00,21:15:00,2025-11-30,2025-11-30 17:15:00,2025-11-30 21:15:00
214,215,Tech Talk,Exhibition,New York,18:30:00,22:30:00,2024-12-03,2024-12-03 18:30:00,2024-12-03 22:30:00
215,216,Science Fair,Class,Austin,09:30:00,12:30:00,2025-02-21,2025-02-21 09:30:00,2025-02-21 12:30:00
216,217,Tech Talk,Festival,Houston,14:45:00,19:45:00,2025-04-02,2025-04-02 14:45:00,2025-04-02 19:45:00
217,218,Science Fair,Festival,Boston,12:45:00,14:45:00,2025-09-05,2025-09-05 12:45:00,2025-09-05 14:45:00
218,219,Coding Workshop,Concert,Chicago,12:45:00,13:45:00,2024-11-07,2024-11-07 12:45:00,2024-11-07 13:45:00
221,222,Yoga Class,Festival,Miami,11:30:00,12:30:00,2025-03-23,2025-03-23 11:30:00,2025-03-23 12:30:00
228,229,Comedy Night,Screening,Austin,11:45:00,15:45:00,2025-06-24,2025-06-24 11:45:00,2025-06-24 15:45:00
230,231,Yoga Class,Fair,Chicago,17:00:00,18:00:00,2024-11-23,2024-11-23 17:00:00,2024-11-23 18:00:00
231,232,Food Festival,Workshop,Denver,12:45:00,17:45:00,2025-10-14,2025-10-14 12:45:00,2025-10-14 17:45:00
235,236,Book Launch,Workshop,Houston,09:15:00,12:15:00,2025-01-14,2025-01-14 09:15:00,2025-01-14 12:15:00
236,237,Music Concert,Class,New York,15:00:00,19:00:00,2025-08-31,2025-08-31 15:00:00,2025-08-31 19:00:00
241,242,Art Exhibition,Workshop,Houston,08:30:00,13:30:00,2025-01-22,2025-01-22 08:30:00,2025-01-22 13:30:00
242,243,Science Fair,Exhibition,Boston,14:00:00,17:00:00,2025-01-30,2025-01-30 14:00:00,2025-01-30 17:00:00
245,246,Book Launch,Screening,Los Angeles,18:30:00,20:30:00,2025-10-27,2025-10-27 18:30:00,2025-10-27 20:30:00
246,247,Music Concert,Screening,San Francisco,16:45:00,20:45:00,2025-06-20,2025-06-20 16:45:00,2025-06-20 20:45:00
248,249,Tech Talk,Launch,Miami,10:15:00,14:15:00,2024-11-19,2024-11-19 10:15:00,2024-11-19 14:15:00
250,251,Comedy Night,Show,New York,12:00:00,17:00:00,2025-02-21,2025-02-21 12:00:00,2025-02-21 17:00:00
252,253,Food Festival,Fair,Houston,14:15:00,15:15:00,2025-12-22,2025-12-22 14:15:00,2025-12-22 15:15:00
255,256,Music Concert,Fair,Chicago,09:30:00,14:30:00,2025-03-17,2025-03-17 09:30:00,2025-03-17 14:30:00
263,264,Yoga Class,Launch,Seattle,09:15:00,13:15:00,2024-12-21,2024-12-21 09:15:00,2024-12-21 13:15:00
264,265,Art Exhibition,Concert,Los Angeles,12:30:00,17:30:00,2025-03-29,2025-03-29 12:30:00,2025-03-29 17:30:00
265,266,Book Launch,Show,Boston,11:00:00,15:00:00,2025-01-23,2025-01-23 11:00:00,2025-01-23 15:00:00
276,277,Food Festival,Fair,Los Angeles,09:15:00,11:15:00,2025-06-04,2025-06-04 09:15:00,2025-06-04 11:15:00
279,280,Yoga Class,Conference,Chicago,13:15:00,18:15:00,2025-09-24,2025-09-24 13:15:00,2025-09-24 18:15:00
280,281,Tech Talk,Conference,Los Angeles,12:00:00,14:00:00,2025-06-25,2025-06-25 12:00:00,2025-06-25 14:00:00
285,286,Music Concert,Launch,New York,10:15:00,11:15:00,2025-05-10,2025-05-10 10:15:00,2025-05-10 11:15:00
294,295,Coding Workshop,Festival,New York,08:15:00,10:15:00,2025-12-24,2025-12-24 08:15:00,2025-12-24 10:15:00
295,296,Tech Talk,Fair,Denver,13:00:00,16:00:00,2025-03-19,2025-03-19 13:00:00,2025-03-19 16:00:00
301,302,Yoga Class,Concert,Chicago,18:30:00,19:30:00,2025-06-07,2025-06-07 18:30:00,2025-06-07 19:30:00
304,305,Yoga Class,Festival,Miami,08:00:00,11:00:00,2025-11-02,2025-11-02 08:00:00,2025-11-02 11:00:00
306,307,Music Concert,Exhibition,Boston,13:30:00,18:30:00,2025-12-07,2025-12-07 13:30:00,2025-12-07 18:30:00
307,308,Coding Workshop,Screening,Chicago,11:15:00,16:15:00,2025-11-21,2025-11-21 11:15:00,2025-11-21 16:15:00
312,313,Yoga Class,Conference,Austin,14:45:00,15:45:00,2024-12-11,2024-12-11 14:45:00,2024-12-11 15:45:00
313,314,Science Fair,Concert,San Francisco,10:15:00,14:15:00,2024-12-16,2024-12-16 10:15:00,2024-12-16 14:15:00
314,315,Tech Talk,Launch,Denver,12:30:00,13:30:00,2024-11-17,2024-11-17 12:30:00,2024-11-17 13:30:00
315,316,Art Exhibition,Concert,Denver,14:15:00,15:15:00,2025-02-13,2025-02-13 14:15:00,2025-02-13 15:15:00
316,317,Film Screening,Screening,Seattle,14:00:00,16:00:00,2025-02-07,2025-02-07 14:00:00,2025-02-07 16:00:00
320,321,Music Concert,Exhibition,Denver,13:00:00,14:00:00,2024-11-22,2024-11-22 13:00:00,2024-11-22 14:00:00
322,323,Art Exhibition,Concert,Los Angeles,16:15:00,21:15:00,2025-05-17,2025-05-17 16:15:00,2025-05-17 21:15:00
323,324,Book Launch,Exhibition,New York,08:15:00,09:15:00,2025-03-31,2025-03-31 08:15:00,2025-03-31 09:15:00
324,325,Yoga Class,Launch,Denver,14:00:00,17:00:00,2025-01-25,2025-01-25 14:00:00,2025-01-25 17:00:00
325,326,Tech Talk,Show,San Francisco,17:30:00,18:30:00,2025-03-16,2025-03-16 17:30:00,2025-03-16 18:30:00
326,327,Tech Talk,Fair,Chicago,18:00:00,22:00:00,2025-12-17,2025-12-17 18:00:00,2025-12-17 22:00:00
327,328,Music Concert,Concert,Chicago,17:30:00,20:30:00,2025-12-12,2025-12-12 17:30:00,2025-12-12 20:30:00
329,330,Yoga Class,Screening,Chicago,11:00:00,13:00:00,2025-04-26,2025-04-26 11:00:00,2025-04-26 13:00:00
330,331,Food Festival,Concert,Austin,09:30:00,12:30:00,2025-11-07,2025-11-07 09:30:00,2025-11-07 12:30:00
332,333,Book Launch,Exhibition,Boston,10:15:00,15:15:00,2025-03-29,2025-03-29 10:15:00,2025-03-29 15:15:00
339,340,Art Exhibition,Conference,Austin,11:45:00,12:45:00,2025-03-27,2025-03-27 11:45:00,2025-03-27 12:45:00
341,342,Comedy Night,Launch,Los Angeles,16:15:00,21:15:00,2025-11-12,2025-11-12 16:15:00,2025-11-12 21:15:00
344,345,Comedy Night,Screening,New York,12:00:00,17:00:00,2025-02-21,2025-02-21 12:00:00,2025-02-21 17:00:00
346,347,Yoga Class,Exhibition,Austin,09:15:00,12:15:00,2025-08-25,2025-08-25 09:15:00,2025-08-25 12:15:00
347,348,Yoga Class,Screening,Miami,15:15:00,20:15:00,2024-12-18,2024-12-18 15:15:00,2024-12-18 20:15:00
350,351,Art Exhibition,Exhibition,Denver,13:00:00,18:00:00,2025-06-06,2025-06-06 13:00:00,2025-06-06 18:00:00
353,354,Coding Workshop,Launch,Austin,09:45:00,12:45:00,2025-04-10,2025-04-10 09:45:00,2025-04-10 12:45:00
354,355,Food Festival,Screening,Boston,10:30:00,14:30:00,2025-11-14,2025-11-14 10:30:00,2025-11-14 14:30:00
357,358,Book Launch,Fair,Los Angeles,08:45:00,12:45:00,2025-02-17,2025-02-17 08:45:00,2025-02-17 12:45:00
367,368,Film Screening,Launch,Boston,18:15:00,23:15:00,2025-12-20,2025-12-20 18:15:00,2025-12-20 23:15:00
369,370,Book Launch,Concert,Austin,09:15:00,12:15:00,2025-08-27,2025-08-27 09:15:00,2025-08-27 12:15:00
372,373,Yoga Class,Launch,San Francisco,12:45:00,15:45:00,2024-11-22,2024-11-22 12:45:00,2024-11-22 15:45:00
373,374,Science Fair,Fair,Seattle,15:30:00,18:30:00,2025-03-11,2025-03-11 15:30:00,2025-03-11 18:30:00
379,380,Coding Workshop,Launch,Boston,13:45:00,15:45:00,2025-12-18,2025-12-18 13:45:00,2025-12-18 15:45:00
382,383,Food Festival,Festival,Seattle,10:30:00,12:30:00,2025-01-20,2025-01-20 10:30:00,2025-01-20 12:30:00
385,386,Music Concert,Conference,Houston,18:15:00,23:15:00,2025-09-20,2025-09-20 18:15:00,2025-09-20 23:15:00
387,388,Yoga Class,Screening,Denver,18:15:00,23:15:00,2025-01-04,2025-01-04 18:15:00,2025-01-04 23:15:00
390,391,Book Launch,Launch,Boston,08:00:00,11:00:00,2025-10-17,2025-10-17 08:00:00,2025-10-17 11:00:00
391,392,Coding Workshop,Fair,Houston,17:00:00,18:00:00,2024-11-13,2024-11-13 17:00:00,2024-11-13 18:00:00
393,394,Food Festival,Screening,New York,15:15:00,16:15:00,2025-07-17,2025-07-17 15:15:00,2025-07-17 16:15:00
395,396,Food Festival,Conference,Boston,08:30:00,11:30:00,2025-02-03,2025-02-03 08:30:00,2025-02-03 11:30:00
396,397,Comedy Night,Festival,Seattle,16:45:00,19:45:00,2025-04-28,2025-04-28 16:45:00,2025-04-28 19:45:00
397,398,Coding Workshop,Concert,New York,14:15:00,15:15:00,2025-11-20,2025-11-20 14:15:00,2025-11-20 15:15:00
401,402,Comedy Night,Conference,Chicago,16:30:00,19:30:00,2024-12-05,2024-12-05 16:30:00,2024-12-05 19:30:00
405,406,Music Concert,Show,Boston,10:00:00,14:00:00,2025-06-12,2025-06-12 10:00:00,2025-06-12 14:00:00
413,414,Yoga Class,Show,New York,10:00:00,15:00:00,2024-12-12,2024-12-12 10:00:00,2024-12-12 15:00:00
417,418,Art Exhibition,Screening,Boston,11:00:00,12:00:00,2025-04-29,2025-04-29 11:00:00,2025-04-29 12:00:00
423,424,Coding Workshop,Conference,Miami,13:00:00,17:00:00,2025-03-15,2025-03-15 13:00:00,2025-03-15 17:00:00
427,428,Art Exhibition,Festival,Los Angeles,09:00:00,11:00:00,2025-02-09,2025-02-09 09:00:00,2025-02-09 11:00:00
429,430,Comedy Night,Concert,Denver,08:45:00,11:45:00,2025-10-17,2025-10-17 08:45:00,2025-10-17 11:45:00
432,433,Comedy Night,Screening,Houston,18:15:00,19:15:00,2025-06-09,2025-06-09 18:15:00,2025-06-09 19:15:00
434,435,Yoga Class,Class,Seattle,09:30:00,10:30:00,2025-06-26,2025-06-26 09:30:00,2025-06-26 10:30:00
437,438,Film Screening,Conference,Chicago,12:45:00,16:45:00,2024-12-03,2024-12-03 12:45:00,2024-12-03 16:45:00
438,439,Art Exhibition,Exhibition,Denver,09:15:00,12:15:00,2025-02-20,2025-02-20 09:15:00,2025-02-20 12:15:00
439,440,Comedy Night,Conference,Chicago,15:00:00,17:00:00,2025-09-22,2025-09-22 15:00:00,2025-09-22 17:00:00
450,451,Yoga Class,Exhibition,Boston,15:00:00,20:00:00,2025-09-20,2025-09-20 15:00:00,2025-09-20 20:00:00
451,452,Coding Workshop,Concert,Austin,12:15:00,15:15:00,2025-01-24,2025-01-24 12:15:00,2025-01-24 15:15:00
455,456,Art Exhibition,Class,Seattle,13:15:00,17:15:00,2024-12-31,2024-12-31 13:15:00,2024-12-31 17:15:00
457,458,Science Fair,Exhibition,Houston,08:45:00,09:45:00,2025-09-18,2025-09-18 08:45:00,2025-09-18 09:45:00
458,459,Comedy Night,Concert,Denver,09:30:00,14:30:00,2025-01-31,2025-01-31 09:30:00,2025-01-31 14:30:00
459,460,Comedy Night,Exhibition,Los Angeles,12:00:00,17:00:00,2025-10-24,2025-10-24 12:00:00,2025-10-24 17:00:00
460,461,Art Exhibition,Screening,Denver,17:15:00,21:15:00,2025-02-01,2025-02-01 17:15:00,2025-02-01 21:15:00
468,469,Tech Talk,Exhibition,Houston,13:30:00,18:30:00,2024-12-01,2024-12-01 13:30:00,2024-12-01 18:30:00
469,470,Food Festival,Festival,Los Angeles,18:00:00,21:00:00,2024-11-06,2024-11-06 18:00:00,2024-11-06 21:00:00
473,474,Comedy Night,Conference,Boston,12:45:00,13:45:00,2025-06-04,2025-06-04 12:45:00,2025-06-04 13:45:00
475,476,Yoga Class,Screening,Boston,09:30:00,14:30:00,2025-02-22,2025-02-22 09:30:00,2025-02-22 14:30:00
476,477,Food Festival,Exhibition,Chicago,12:15:00,14:15:00,2025-12-02,2025-12-02 12:15:00,2025-12-02 14:15:00
480,481,Film Screening,Launch,Miami,11:45:00,12:45:00,2024-12-24,2024-12-24 11:45:00,2024-12-24 12:45:00
481,482,Art Exhibition,Workshop,Miami,12:45:00,16:45:00,2025-09-03,2025-09-03 12:45:00,2025-09-03 16:45:00
484,485,Comedy Night,Screening,Denver,13:45:00,17:45:00,2025-10-04,2025-10-04 13:45:00,2025-10-04 17:45:00
487,488,Food Festival,Fair,Miami,15:15:00,18:15:00,2025-09-02,2025-09-02 15:15:00,2025-09-02 18:15:00
489,490,Art Exhibition,Launch,Boston,15:15:00,17:15:00,2025-02-25,2025-02-25 15:15:00,2025-02-25 17:15:00
490,491,Coding Workshop,Workshop,Los Angeles,11:30:00,12:30:00,2025-06-28,2025-06-28 11:30:00,2025-06-28 12:30:00
493,494,Coding Workshop,Launch,Denver,08:15:00,12:15:00,2025-06-19,2025-06-19 08:15:00,2025-06-19 12:15:00
495,496,Tech Talk,Launch,Austin,08:45:00,12:45:00,2025-06-17,2025-06-17 08:45:00,2025-06-17 12:45:00
498,499,Art Exhibition,Class,Denver,17:00:00,20:00:00,2025-11-26,2025-11-26 17:00:00,2025-11-26 20:00:00
501,502,Yoga Class,Festival,Chicago,12:00:00,14:00:00,2025-02-14,2025-02-14 12:00:00,2025-02-14 14:00:00
505,506,Music Concert,Festival,Denver,12:45:00,13:45:00,2024-12-10,2024-12-10 12:45:00,2024-12-10 13:45:00
508,509,Yoga Class,Conference,Miami,09:00:00,11:00:00,2025-05-25,2025-05-25 09:00:00,2025-05-25 11:00:00
509,510,Coding Workshop,Workshop,Seattle,14:45:00,15:45:00,2025-07-11,2025-07-11 14:45:00,2025-07-11 15:45:00
510,511,Yoga Class,Class,Boston,09:30:00,12:30:00,2025-11-11,2025-11-11 09:30:00,2025-11-11 12:30:00
511,512,Comedy Night,Exhibition,Denver,09:15:00,10:15:00,2025-07-10,2025-07-10 09:15:00,2025-07-10 10:15:00
516,517,Film Screening,Festival,Boston,13:15:00,15:15:00,2025-01-20,2025-01-20 13:15:00,2025-01-20 15:15:00
517,518,Art Exhibition,Screening,Seattle,13:45:00,15:45:00,2025-03-26,2025-03-26 13:45:00,2025-03-26 15:45:00
519,520,Yoga Class,Concert,Los Angeles,18:00:00,20:00:00,2025-07-03,2025-07-03 18:00:00,2025-07-03 20:00:00
520,521,Food Festival,Exhibition,Chicago,17:45:00,20:45:00,2025-04-19,2025-04-19 17:45:00,2025-04-19 20:45:00
521,522,Music Concert,Fair,Chicago,13:15:00,17:15:00,2025-10-19,2025-10-19 13:15:00,2025-10-19 17:15:00
525,526,Film Screening,Class,New York,11:30:00,16:30:00,2025-06-02,2025-06-02 11:30:00,2025-06-02 16:30:00
530,531,Book Launch,Screening,Miami,17:00:00,21:00:00,2024-11-15,2024-11-15 17:00:00,2024-11-15 21:00:00
531,532,Comedy Night,Launch,Houston,16:00:00,18:00:00,2025-02-12,2025-02-12 16:00:00,2025-02-12 18:00:00
536,537,Film Screening,Launch,Los Angeles,09:00:00,12:00:00,2025-12-22,2025-12-22 09:00:00,2025-12-22 12:00:00
540,541,Music Concert,Conference,Chicago,09:00:00,13:00:00,2024-12-14,2024-12-14 09:00:00,2024-12-14 13:00:00
546,547,Coding Workshop,Fair,Denver,18:30:00,21:30:00,2025-07-11,2025-07-11 18:30:00,2025-07-11 21:30:00
550,551,Book Launch,Class,San Francisco,09:30:00,13:30:00,2025-08-09,2025-08-09 09:30:00,2025-08-09 13:30:00
555,556,Film Screening,Fair,New York,08:15:00,12:15:00,2025-06-02,2025-06-02 08:15:00,2025-06-02 12:15:00
556,557,Tech Talk,Screening,Austin,08:30:00,13:30:00,2024-11-20,2024-11-20 08:30:00,2024-11-20 13:30:00
557,558,Comedy Night,Fair,Seattle,10:15:00,14:15:00,2025-03-10,2025-03-10 10:15:00,2025-03-10 14:15:00
558,559,Coding Workshop,Concert,Chicago,12:15:00,17:15:00,2025-12-31,2025-12-31 12:15:00,2025-12-31 17:15:00
559,560,Yoga Class,Exhibition,San Francisco,17:30:00,21:30:00,2024-11-18,2024-11-18 17:30:00,2024-11-18 21:30:00
560,561,Comedy Night,Screening,New York,18:15:00,21:15:00,2025-08-10,2025-08-10 18:15:00,2025-08-10 21:15:00
