event_id,name,type,location,start_time,end_time,date
29,Music Concert,Conference,Austin,11:30:00,14:30:00,2023-09-14
30,Book Launch,Festival,Chicago,10:45:00,15:45:00,2023-08-23
31,Comedy Night,Exhibition,San Francisco,15:30:00,19:30:00,2025-08-18
32,Music Concert,Conference,Boston,09:30:00,14:30:00,2025-08-27
33,Tech Talk,Workshop,Seattle,18:45:00,19:45:00,2025-07-20
34,Yoga Class,Workshop,New York,11:00:00,14:00:00,2025-06-10
35,Science Fair,Class,Boston,15:15:00,17:15:00,2025-06-30
36,Book Launch,Exhibition,Seattle,09:15:00,13:15:00,2024-04-13
37,Book Launch,Fair,Chicago,08:15:00,13:15:00,2025-11-15
38,Book Launch,Exhibition,Seattle,13:00:00,15:00:00,2023-01-05
39,Tech Talk,Screening,San Francisco,08:15:00,13:15:00,2023-11-04
40,Yoga Class,Exhibition,Houston,16:30:00,17:30:00,2025-10-05
41,Book Launch,Launch,Boston,18:00:00,23:00:00,2025-02-17
42,Tech Talk,Screening,New York,09:30:00,14:30:00,2025-10-02
43,Art Exhibition,Workshop,Denver,12:45:00,17:45:00,2025-08-19
44,Art Exhibition,Workshop,Houston,15:30:00,20:30:00,2024-09-17
45,Coding Workshop,Concert,Seattle,14:15:00,18:15:00,2025-08-18
46,Coding Workshop,Exhibition,Boston,11:00:00,15:00:00,2023-12-25
47,Art Exhibition,Workshop,Denver,11:15:00,12:15:00,2025-08-21
48,Science Fair,Screening,Seattle,09:15:00,14:15:00,2023-05-13
49,Music Concert,Festival,San Francisco,16:45:00,19:45:00,2024-05-17
50,Food Festival,Fair,Chicago,14:30:00,18:30:00,2023-12-16
51,Art Exhibition,Exhibition,Chicago,12:45:00,14:45:00,2023-09-13
52,Art Exhibition,Fair,Houston,18:30:00,23:30:00,2024-01-22
53,Science Fair,Concert,Chicago,15:45:00,17:45:00,2024-03-16
54,Music Concert,Class,Miami,10:45:00,14:45:00,2025-01-19
55,Food Festival,Conference,Boston,14:00:00,19:00:00,2023-09-04
56,Food Festival,Screening,Seattle,15:45:00,20:45:00,2023-01-18
57,Film Screening,Show,San Francisco,08:15:00,09:15:00,2025-01-05
58,Coding Workshop,Show,Chicago,18:45:00,20:45:00,2024-07-10
59,Music Concert,Fair,Denver,16:15:00,17:15:00,2023-11-17
60,Yoga Class,Class,Chicago,16:00:00,17:00:00,2023-01-16
61,Music Concert,Screening,Miami,13:00:00,17:00:00,2023-10-08
62,Art Exhibition,Exhibition,New York,10:45:00,12:45:00,2025-06-24
63,Comedy Night,Fair,Houston,14:00:00,18:00:00,2023-03-01
64,Film Screening,Conference,Boston,14:00:00,16:00:00,2024-06-14
65,Tech Talk,Fair,Austin,14:15:00,17:15:00,2024-04-03
66,Tech Talk,Festival,Chicago,17:45:00,20:45:00,2024-02-01
67,Food Festival,Show,Chicago,18:45:00,19:45:00,2023-07-05
68,Science Fair,Screening,San Francisco,08:00:00,12:00:00,2024-07-25
69,Film Screening,Festival,Seattle,16:00:00,19:00:00,2024-06-29
70,Science Fair,Show,Los Angeles,13:15:00,16:15:00,2024-04-08
71,Art Exhibition,Festival,Austin,14:45:00,15:45:00,2024-09-08
72,Tech Talk,Concert,Seattle,16:30:00,21:30:00,2024-07-11
73,Comedy Night,Screening,Houston,14:00:00,18:00:00,2024-02-16
74,Tech Talk,Launch,Houston,12:30:00,16:30:00,2025-07-12
75,Film Screening,Screening,New York,08:15:00,12:15:00,2025-06-19
76,Coding Workshop,Fair,Denver,10:00:00,11:00:00,2024-09-27
77,Coding Workshop,Concert,Boston,10:15:00,13:15:00,2024-04-04
78,Art Exhibition,Conference,Chicago,18:00:00,23:00:00,2024-11-14
79,Music Concert,Screening,Seattle,10:15:00,14:15:00,2024-07-13
80,Music Concert,Screening,Chicago,16:30:00,19:30:00,2024-03-11
81,Art Exhibition,Class,Chicago,11:45:00,15:45:00,2024-06-20
82,Comedy Night,Exhibition,Houston,12:45:00,13:45:00,2025-01-11
83,Film Screening,Screening,Austin,14:15:00,19:15:00,2023-06-07
84,Science Fair,Conference,Houston,12:15:00,13:15:00,2025-12-25
85,Art Exhibition,Workshop,Houston,15:45:00,19:45:00,2023-09-25
86,Book Launch,Festival,San Francisco,14:30:00,19:30:00,2023-04-15
87,Film Screening,Launch,Houston,12:45:00,13:45:00,2025-01-24
88,Tech Talk,Conference,Houston,15:15:00,19:15:00,2024-12-25
89,Yoga Class,Concert,Houston,09:45:00,13:45:00,2025-01-19
90,Film Screening,Launch,Austin,09:45:00,10:45:00,2023-04-29
91,Yoga Class,Fair,New York,16:00:00,18:00:00,2023-02-19
92,Music Concert,Festival,New York,17:00:00,20:00:00,2024-05-25
93,Yoga Class,Concert,Chicago,10:45:00,14:45:00,2025-10-26
94,Yoga Class,Conference,Houston,13:15:00,16:15:00,2024-07-17
95,Science Fair,Festival,San Francisco,15:30:00,18:30:00,2024-05-31
96,Food Festival,Exhibition,San Francisco,10:30:00,12:30:00,2024-07-04
97,Art Exhibition,Launch,Austin,15:15:00,17:15:00,2023-09-09
98,Art Exhibition,Class,Houston,15:45:00,17:45:00,2023-05-23
99,Music Concert,Workshop,Denver,17:45:00,19:45:00,2025-11-10
100,Art Exhibition,Show,New York,10:15:00,11:15:00,2024-12-18
101,Coding Workshop,Exhibition,Miami,10:15:00,14:15:00,2023-07-02
102,Film Screening,Fair,Seattle,18:15:00,23:15:00,2025-10-27
103,Music Concert,Festival,Miami,14:45:00,19:45:00,2024-01-22
104,Tech Talk,Conference,Los Angeles,18:30:00,23:30:00,2025-10-18
105,Food Festival,Show,Miami,10:15:00,12:15:00,2025-05-06
106,Tech Talk,Launch,Los Angeles,10:15:00,15:15:00,2023-10-11
107,Film Screening,Screening,Austin,16:30:00,20:30:00,2024-11-24
108,Yoga Class,Festival,Houston,17:30:00,22:30:00,2024-12-16
109,Yoga Class,Fair,Boston,10:45:00,13:45:00,2023-10-21
110,Music Concert,Festival,Los Angeles,08:30:00,12:30:00,2025-09-05
111,Film Screening,Launch,New York,16:30:00,17:30:00,2024-09-14
112,Comedy Night,Exhibition,Boston,14:45:00,19:45:00,2025-03-10
113,Book Launch,Conference,Chicago,12:15:00,13:15:00,2025-10-03
114,Art Exhibition,Screening,Los Angeles,13:45:00,15:45:00,2023-08-22
115,Art Exhibition,Screening,Houston,11:15:00,14:15:00,2023-08-26
116,Art Exhibition,Conference,San Francisco,09:30:00,13:30:00,2023-07-31
117,Music Concert,Workshop,Miami,09:30:00,11:30:00,2024-02-13
118,Music Concert,Conference,Boston,15:15:00,16:15:00,2025-04-17
119,Coding Workshop,Concert,Houston,10:30:00,13:30:00,2023-09-26
120,Comedy Night,Screening,Denver,08:15:00,12:15:00,2025-12-17
121,Coding Workshop,Conference,Chicago,15:45:00,19:45:00,2024-03-14
122,Coding Workshop,Festival,Seattle,10:00:00,15:00:00,2025-09-21
123,Film Screening,Screening,Houston,16:00:00,21:00:00,2024-01-09
124,Food Festival,Workshop,San Francisco,08:15:00,13:15:00,2023-09-29
125,Science Fair,Screening,New York,18:00:00,22:00:00,2024-03-14
126,Art Exhibition,Launch,Seattle,18:45:00,20:45:00,2023-12-30
127,Film Screening,Festival,Houston,16:15:00,20:15:00,2025-12-25
128,Coding Workshop,Festival,Los Angeles,08:15:00,12:15:00,2025-08-29
129,Art Exhibition,Launch,Chicago,10:00:00,15:00:00,2025-12-30
130,Film Screening,Launch,Austin,09:45:00,14:45:00,2023-03-10
131,Comedy Night,Show,New York,15:15:00,20:15:00,2023-09-05
132,Food Festival,Exhibition,Miami,13:45:00,18:45:00,2023-01-04
133,Food Festival,Festival,Los Angeles,13:45:00,18:45:00,2024-01-15
134,Book Launch,Exhibition,Austin,15:30:00,17:30:00,2025-05-21
135,Yoga Class,Screening,San Francisco,13:30:00,18:30:00,2023-06-26
136,Book Launch,Launch,New York,16:00:00,18:00:00,2025-10-07
137,Tech Talk,Concert,Seattle,17:00:00,18:00:00,2023-05-20
138,Tech Talk,Exhibition,Houston,10:00:00,13:00:00,2025-12-23
139,Coding Workshop,Fair,New York,11:00:00,15:00:00,2025-06-29
140,Science Fair,Concert,Seattle,16:00:00,20:00:00,2025-01-27
141,Yoga Class,Fair,Houston,18:30:00,19:30:00,2023-01-27
142,Music Concert,Conference,Los Angeles,08:15:00,11:15:00,2024-05-29
143,Tech Talk,Fair,Austin,18:45:00,22:45:00,2024-06-17
144,Book Launch,Workshop,Boston,13:30:00,14:30:00,2024-11-12
145,Science Fair,Screening,Los Angeles,13:45:00,17:45:00,2023-02-26
146,Film Screening,Concert,Seattle,13:00:00,16:00:00,2023-04-10
147,Book Launch,Show,Chicago,10:00:00,14:00:00,2024-12-03
148,Book Launch,Launch,Austin,16:45:00,21:45:00,2023-03-21
149,Science Fair,Workshop,Denver,18:30:00,20:30:00,2025-02-12
150,Science Fair,Class,San Francisco,10:15:00,15:15:00,2025-12-14
151,Tech Talk,Screening,Los Angeles,16:45:00,18:45:00,2025-07-12
152,Science Fair,Screening,New York,11:00:00,13:00:00,2025-07-18
153,Film Screening,Class,Austin,10:45:00,14:45:00,2023-12-10
154,Tech Talk,Exhibition,New York,14:15:00,16:15:00,2025-05-22
155,Music Concert,Festival,Denver,11:30:00,13:30:00,2025-07-27
156,Tech Talk,Concert,Miami,18:30:00,19:30:00,2025-09-24
157,Book Launch,Exhibition,Austin,16:30:00,18:30:00,2023-02-28
158,Tech Talk,Festival,Seattle,08:00:00,10:00:00,2024-10-21
159,Music Concert,Festival,Miami,16:30:00,18:30:00,2025-02-21
160,Tech Talk,Concert,Seattle,14:00:00,17:00:00,2024-04-02
161,Science Fair,Screening,Houston,18:00:00,22:00:00,2023-08-23
162,Art Exhibition,Show,Los Angeles,08:00:00,12:00:00,2025-10-08
163,Art Exhibition,Workshop,Houston,12:15:00,15:15:00,2023-11-16
164,Film Screening,Concert,Denver,12:30:00,15:30:00,2025-04-17
165,Music Concert,Concert,Boston,16:30:00,18:30:00,2024-10-20
166,Music Concert,Concert,Austin,14:00:00,18:00:00,2023-06-14
167,Comedy Night,Exhibition,Miami,15:15:00,20:15:00,2024-03-12
168,Food Festival,Class,Miami,18:15:00,19:15:00,2024-12-20
169,Coding Workshop,Launch,Austin,09:00:00,14:00:00,2023-04-19
170,Tech Talk,Conference,Chicago,11:45:00,14:45:00,2024-11-23
171,Science Fair,Launch,Seattle,10:45:00,12:45:00,2024-03-31
172,Art Exhibition,Concert,New York,10:30:00,12:30:00,2024-07-07
173,Book Launch,Show,Houston,11:00:00,12:00:00,2024-07-06
174,Book Launch,Festival,Austin,12:45:00,15:45:00,2024-10-16
175,Food Festival,Workshop,Boston,13:30:00,16:30:00,2024-01-03
176,Film Screening,Screening,Houston,18:00:00,23:00:00,2025-05-19
177,Yoga Class,Exhibition,San Francisco,16:00:00,17:00:00,2025-12-26
178,Music Concert,Screening,Chicago,14:45:00,16:45:00,2024-09-06
179,Music Concert,Concert,Los Angeles,15:00:00,19:00:00,2025-07-23
180,Music Concert,Conference,Austin,09:15:00,11:15:00,2024-10-31
181,Film Screening,Screening,Austin,17:45:00,18:45:00,2023-05-12
182,Book Launch,Screening,Austin,18:15:00,19:15:00,2025-01-08
183,Art Exhibition,Screening,New York,08:45:00,09:45:00,2023-07-05
184,Comedy Night,Screening,Boston,09:30:00,12:30:00,2023-05-15
185,Art Exhibition,Concert,Austin,12:45:00,17:45:00,2024-07-01
186,Film Screening,Class,Chicago,09:45:00,12:45:00,2023-08-09
187,Food Festival,Exhibition,Miami,11:30:00,14:30:00,2023-06-22
188,Film Screening,Fair,Austin,09:15:00,10:15:00,2024-01-04
189,Music Concert,Conference,Denver,17:45:00,19:45:00,2024-04-25
190,Food Festival,Show,Los Angeles,09:15:00,11:15:00,2023-08-23
191,Tech Talk,Workshop,Seattle,13:30:00,16:30:00,2023-01-09
192,Tech Talk,Launch,New York,15:15:00,17:15:00,2024-09-20
193,Coding Workshop,Launch,Austin,08:45:00,11:45:00,2024-02-11
194,Food Festival,Class,New York,12:15:00,13:15:00,2025-03-10
195,Music Concert,Workshop,Los Angeles,18:15:00,20:15:00,2025-05-04
196,Film Screening,Workshop,Chicago,10:15:00,15:15:00,2024-12-17
197,Film Screening,Conference,Austin,15:00:00,17:00:00,2025-09-13
198,Book Launch,Conference,Denver,12:15:00,13:15:00,2025-10-07
199,Coding Workshop,Workshop,San Francisco,18:45:00,23:45:00,2023-04-14
200,Book Launch,Launch,Seattle,08:30:00,11:30:00,2025-05-24
201,Art Exhibition,Fair,Seattle,12:30:00,17:30:00,2023-09-06
202,Food Festival,Class,Miami,11:00:00,15:00:00,2025-05-23
203,Comedy Night,Class,San Francisco,13:30:00,14:30:00,2025-05-09
204,Tech Talk,Fair,Houston,15:00:00,16:00:00,2025-11-23
205,Coding Workshop,Screening,Miami,14:45:00,18:45:00,2024-04-16
206,Film Screening,Concert,Denver,11:15:00,16:15:00,2025-01-16
207,Book Launch,Class,Miami,16:30:00,19:30:00,2024-04-02
208,Music Concert,Class,Denver,12:30:00,13:30:00,2024-06-01
209,Film Screening,Concert,New York,18:45:00,19:45:00,2024-09-15
210,Music Concert,Show,Miami,09:45:00,12:45:00,2025-03-07
211,Yoga Class,Show,Seattle,08:30:00,12:30:00,2023-02-11
212,Film Screening,Festival,Miami,10:30:00,14:30:00,2023-12-31
213,Music Concert,Festival,San Francisco,17:30:00,20:30:00,2023-08-22
214,Book Launch,Conference,Los Angeles,17:15:00,21:15:00,2025-11-30
215,Tech Talk,Exhibition,New York,18:30:00,22:30:00,2024-12-03
216,Science Fair,Class,Austin,09:30:00,12:30:00,2025-02-21
217,Tech Talk,Festival,Houston,14:45:00,19:45:00,2025-04-02
218,Science Fair,Festival,Boston,12:45:00,14:45:00,2025-09-05
219,Coding Workshop,Concert,Chicago,12:45:00,13:45:00,2024-11-07
220,Comedy Night,Festival,Los Angeles,17:45:00,21:45:00,2024-08-01
221,Music Concert,Screening,Miami,14:30:00,16:30:00,2023-02-10
222,Yoga Class,Festival,Miami,11:30:00,12:30:00,2025-03-23
223,Yoga Class,Launch,Los Angeles,18:30:00,22:30:00,2023-08-19
224,Coding Workshop,Show,Los Angeles,15:45:00,17:45:00,2023-04-03
225,Tech Talk,Launch,San Francisco,13:30:00,16:30:00,2024-02-07
226,Music Concert,Show,Seattle,12:00:00,14:00:00,2024-06-18
227,Tech Talk,Class,Miami,09:15:00,10:15:00,2023-09-22
228,Comedy Night,Class,Los Angeles,17:30:00,20:30:00,2023-10-08
229,Comedy Night,Screening,Austin,11:45:00,15:45:00,2025-06-24
230,Book Launch,Screening,Denver,17:15:00,22:15:00,2023-06-12
231,Yoga Class,Fair,Chicago,17:00:00,18:00:00,2024-11-23
232,Food Festival,Workshop,Denver,12:45:00,17:45:00,2025-10-14
233,Tech Talk,Class,Austin,09:30:00,13:30:00,2024-05-13
234,Food Festival,Show,Los Angeles,12:00:00,15:00:00,2024-05-20
235,Music Concert,Class,San Francisco,09:00:00,11:00:00,2023-09-04
236,Book Launch,Workshop,Houston,09:15:00,12:15:00,2025-01-14
237,Music Concert,Class,New York,15:00:00,19:00:00,2025-08-31
238,Film Screening,Fair,Denver,17:45:00,18:45:00,2023-08-26
239,Film Screening,Workshop,Denver,16:45:00,18:45:00,2024-11-02
240,Film Screening,Class,Miami,11:15:00,15:15:00,2024-07-26
241,Film Screening,Class,Denver,13:15:00,18:15:00,2023-10-24
242,Art Exhibition,Workshop,Houston,08:30:00,13:30:00,2025-01-22
243,Science Fair,Exhibition,Boston,14:00:00,17:00:00,2025-01-30
244,Coding Workshop,Screening,Chicago,09:30:00,11:30:00,2023-08-31
245,Music Concert,Conference,San Francisco,18:30:00,19:30:00,2024-09-14
246,Book Launch,Screening,Los Angeles,18:30:00,20:30:00,2025-10-27
247,Music Concert,Screening,San Francisco,16:45:00,20:45:00,2025-06-20
248,Art Exhibition,Class,Denver,12:45:00,16:45:00,2023-07-15
249,Tech Talk,Launch,Miami,10:15:00,14:15:00,2024-11-19
250,Comedy Night,Fair,Boston,10:00:00,14:00:00,2024-04-29
251,Comedy Night,Show,New York,12:00:00,17:00:00,2025-02-21
252,Film Screening,Class,San Francisco,13:15:00,18:15:00,2023-09-13
253,Food Festival,Fair,Houston,14:15:00,15:15:00,2025-12-22
254,Food Festival,Concert,San Francisco,10:30:00,15:30:00,2024-02-07
255,Music Concert,Workshop,Seattle,16:00:00,19:00:00,2023-06-29
256,Music Concert,Fair,Chicago,09:30:00,14:30:00,2025-03-17
257,Music Concert,Workshop,Denver,10:15:00,12:15:00,2024-08-14
258,Tech Talk,Launch,Denver,10:45:00,11:45:00,2024-08-14
259,Film Screening,Concert,San Francisco,12:15:00,13:15:00,2023-03-31
260,Music Concert,Conference,Seattle,17:15:00,19:15:00,2023-01-28
261,Music Concert,Launch,San Francisco,14:45:00,17:45:00,2024-04-13
262,Comedy Night,Workshop,Boston,08:00:00,10:00:00,2023-04-28
263,Book Launch,Festival,Austin,15:15:00,19:15:00,2023-09-12
264,Yoga Class,Launch,Seattle,09:15:00,13:15:00,2024-12-21
265,Art Exhibition,Concert,Los Angeles,12:30:00,17:30:00,2025-03-29
266,Book Launch,Show,Boston,11:00:00,15:00:00,2025-01-23
267,Comedy Night,Festival,Los Angeles,09:45:00,14:45:00,2024-08-27
268,Yoga Class,Festival,Denver,15:15:00,19:15:00,2023-10-24
269,Art Exhibition,Concert,San Francisco,12:00:00,14:00:00,2023-03-06
270,Coding Workshop,Workshop,New York,14:45:00,17:45:00,2024-03-21
271,Yoga Class,Concert,New York,13:00:00,17:00:00,2023-04-26
272,Food Festival,Screening,Denver,18:30:00,23:30:00,2023-05-16
273,Food Festival,Screening,Chicago,11:15:00,13:15:00,2023-05-23
274,Music Concert,Conference,Los Angeles,15:00:00,17:00:00,2024-04-18
275,Book Launch,Workshop,Los Angeles,12:00:00,14:00:00,2024-05-10
276,Tech Talk,Conference,San Francisco,11:15:00,14:15:00,2024-01-11
277,Food Festival,Fair,Los Angeles,09:15:00,11:15:00,2025-06-04
278,Book Launch,Exhibition,Boston,18:30:00,22:30:00,2023-12-09
279,Science Fair,Show,Los Angeles,10:45:00,12:45:00,2024-07-22
280,Yoga Class,Conference,Chicago,13:15:00,18:15:00,2025-09-24
281,Tech Talk,Conference,Los Angeles,12:00:00,14:00:00,2025-06-25
282,Music Concert,Class,Austin,18:45:00,21:45:00,2024-10-26
283,Tech Talk,Festival,San Francisco,12:30:00,13:30:00,2024-07-27
284,Film Screening,Screening,Houston,10:30:00,12:30:00,2024-10-04
285,Tech Talk,Launch,San Francisco,16:30:00,20:30:00,2024-07-04
286,Music Concert,Launch,New York,10:15:00,11:15:00,2025-05-10
287,Food Festival,Fair,Chicago,09:45:00,12:45:00,2023-02-11
288,Coding Workshop,Festival,San Francisco,08:30:00,13:30:00,2023-08-08
289,Music Concert,Concert,Los Angeles,17:30:00,21:30:00,2023-07-02
290,Science Fair,Conference,Miami,12:15:00,16:15:00,2024-07-23
291,Art Exhibition,Launch,New York,15:00:00,20:00:00,2023-05-13
292,Science Fair,Show,Miami,11:00:00,16:00:00,2024-01-13
293,Food Festival,Workshop,Austin,11:15:00,14:15:00,2024-02-16
294,Comedy Night,Launch,Houston,11:45:00,13:45:00,2023-03-10
295,Coding Workshop,Festival,New York,08:15:00,10:15:00,2025-12-24
296,Tech Talk,Fair,Denver,13:00:00,16:00:00,2025-03-19
297,Music Concert,Fair,San Francisco,10:45:00,13:45:00,2023-07-01
298,Art Exhibition,Class,Denver,15:30:00,18:30:00,2023-04-09
299,Food Festival,Fair,Chicago,18:45:00,19:45:00,2023-09-29
300,Book Launch,Concert,Boston,09:30:00,10:30:00,2023-05-25
301,Coding Workshop,Festival,New York,08:45:00,13:45:00,2023-01-20
302,Yoga Class,Concert,Chicago,18:30:00,19:30:00,2025-06-07
303,Tech Talk,Concert,Seattle,08:15:00,11:15:00,2023-03-28
304,Food Festival,Launch,Seattle,17:45:00,22:45:00,2024-03-28
305,Yoga Class,Festival,Miami,08:00:00,11:00:00,2025-11-02
306,Book Launch,Show,San Francisco,10:00:00,13:00:00,2024-01-24
307,Music Concert,Exhibition,Boston,13:30:00,18:30:00,2025-12-07
308,Coding Workshop,Screening,Chicago,11:15:00,16:15:00,2025-11-21
309,Science Fair,Fair,Houston,10:45:00,15:45:00,2023-05-30
310,Comedy Night,Class,Los Angeles,08:30:00,13:30:00,2023-10-06
311,Tech Talk,Screening,Miami,16:15:00,18:15:00,2024-02-19
312,Tech Talk,Concert,Boston,08:15:00,13:15:00,2023-03-20
313,Yoga Class,Conference,Austin,14:45:00,15:45:00,2024-12-11
314,Science Fair,Concert,San Francisco,10:15:00,14:15:00,2024-12-16
315,Tech Talk,Launch,Denver,12:30:00,13:30:00,2024-11-17
316,Art Exhibition,Concert,Denver,14:15:00,15:15:00,2025-02-13
317,Film Screening,Screening,Seattle,14:00:00,16:00:00,2025-02-07
318,Film Screening,Workshop,New York,09:15:00,11:15:00,2024-08-18
319,Comedy Night,Launch,Denver,16:45:00,17:45:00,2024-01-30
320,Food Festival,Conference,Boston,09:45:00,12:45:00,2023-01-31
321,Music Concert,Exhibition,Denver,13:00:00,14:00:00,2024-11-22
322,Coding Workshop,Launch,New York,09:30:00,12:30:00,2024-05-04
323,Art Exhibition,Concert,Los Angeles,16:15:00,21:15:00,2025-05-17
324,Book Launch,Exhibition,New York,08:15:00,09:15:00,2025-03-31
325,Yoga Class,Launch,Denver,14:00:00,17:00:00,2025-01-25
326,Tech Talk,Show,San Francisco,17:30:00,18:30:00,2025-03-16
327,Tech Talk,Fair,Chicago,18:00:00,22:00:00,2025-12-17
328,Music Concert,Concert,Chicago,17:30:00,20:30:00,2025-12-12
329,Music Concert,Workshop,New York,17:15:00,18:15:00,2024-09-06
330,Yoga Class,Screening,Chicago,11:00:00,13:00:00,2025-04-26
331,Food Festival,Concert,Austin,09:30:00,12:30:00,2025-11-07
332,Yoga Class,Show,Seattle,16:30:00,21:30:00,2024-05-04
333,Book Launch,Exhibition,Boston,10:15:00,15:15:00,2025-03-29
334,Film Screening,Workshop,Denver,15:45:00,18:45:00,2023-01-28
335,Book Launch,Class,Houston,17:15:00,19:15:00,2024-01-19
336,Coding Workshop,Fair,Seattle,11:30:00,14:30:00,2024-06-23
337,Yoga Class,Festival,Houston,18:30:00,23:30:00,2023-05-13
338,Science Fair,Fair,San Francisco,10:00:00,13:00:00,2023-01-14
339,Comedy Night,Launch,Seattle,18:00:00,22:00:00,2024-04-10
340,Art Exhibition,Conference,Austin,11:45:00,12:45:00,2025-03-27
341,Film Screening,Fair,Boston,13:00:00,16:00:00,2024-10-01
342,Comedy Night,Launch,Los Angeles,16:15:00,21:15:00,2025-11-12
343,Film Screening,Concert,Chicago,09:15:00,12:15:00,2023-05-07
344,Music Concert,Show,Houston,12:45:00,14:45:00,2023-07-22
345,Comedy Night,Screening,New York,12:00:00,17:00:00,2025-02-21
346,Coding Workshop,Show,Miami,16:30:00,18:30:00,2023-11-07
347,Yoga Class,Exhibition,Austin,09:15:00,12:15:00,2025-08-25
348,Yoga Class,Screening,Miami,15:15:00,20:15:00,2024-12-18
349,Yoga Class,Class,Boston,16:45:00,19:45:00,2024-07-20
350,Coding Workshop,Show,Boston,12:15:00,14:15:00,2023-12-14
351,Art Exhibition,Exhibition,Denver,13:00:00,18:00:00,2025-06-06
352,Food Festival,Screening,New York,18:15:00,20:15:00,2024-10-13
353,Film Screening,Conference,Los Angeles,09:45:00,12:45:00,2023-08-05
354,Coding Workshop,Launch,Austin,09:45:00,12:45:00,2025-04-10
355,Food Festival,Screening,Boston,10:30:00,14:30:00,2025-11-14
356,Book Launch,Workshop,Seattle,10:45:00,12:45:00,2023-02-24
357,Film Screening,Workshop,Austin,18:45:00,23:45:00,2024-03-30
358,Book Launch,Fair,Los Angeles,08:45:00,12:45:00,2025-02-17
359,Comedy Night,Show,Seattle,14:00:00,15:00:00,2024-06-22
360,Comedy Night,Festival,Denver,08:00:00,10:00:00,2023-02-17
361,Art Exhibition,Festival,New York,18:30:00,22:30:00,2023-01-26
362,Art Exhibition,Fair,Los Angeles,10:45:00,11:45:00,2023-08-10
363,Art Exhibition,Show,Los Angeles,08:15:00,11:15:00,2023-07-18
364,Book Launch,Launch,Houston,18:45:00,21:45:00,2024-08-29
365,Book Launch,Conference,Denver,17:30:00,22:30:00,2024-08-18
366,Film Screening,Festival,Miami,18:45:00,23:45:00,2023-11-06
367,Food Festival,Exhibition,New York,16:00:00,19:00:00,2023-01-26
368,Film Screening,Launch,Boston,18:15:00,23:15:00,2025-12-20
369,Yoga Class,Fair,Miami,14:30:00,18:30:00,2023-04-27
370,Book Launch,Concert,Austin,09:15:00,12:15:00,2025-08-27
371,Tech Talk,Launch,Boston,09:15:00,12:15:00,2024-01-18
372,Book Launch,Concert,Austin,18:30:00,23:30:00,2023-02-27
373,Yoga Class,Launch,San Francisco,12:45:00,15:45:00,2024-11-22
374,Science Fair,Fair,Seattle,15:30:00,18:30:00,2025-03-11
375,Food Festival,Class,Chicago,08:45:00,09:45:00,2023-01-31
376,Comedy Night,Show,Austin,16:15:00,17:15:00,2023-09-29
377,Tech Talk,Conference,Houston,10:15:00,11:15:00,2024-08-14
378,Music Concert,Fair,Chicago,08:30:00,09:30:00,2024-09-29
379,Comedy Night,Festival,Houston,10:30:00,15:30:00,2023-08-22
380,Coding Workshop,Launch,Boston,13:45:00,15:45:00,2025-12-18
381,Tech Talk,Fair,San Francisco,09:30:00,13:30:00,2024-06-27
382,Yoga Class,Fair,Los Angeles,17:30:00,18:30:00,2023-06-18
383,Food Festival,Festival,Seattle,10:30:00,12:30:00,2025-01-20
384,Yoga Class,Festival,New York,15:45:00,19:45:00,2024-04-21
